locus_tag	ftype	length_bp	gene	EC_number	COG	product
KNDGMFLB_00353	CDS	984	yfhP		COG1988	putative protein YfhP
KNDGMFLB_00354	CDS	1314	mutY	3.2.2.31	COG1194	Adenine DNA glycosylase
KNDGMFLB_00355	CDS	225	yfhS			putative protein YfhS
KNDGMFLB_00356	CDS	753	fabL	1.3.1.104		Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL
KNDGMFLB_00357	CDS	255	sspE			Small, acid-soluble spore protein gamma-type
KNDGMFLB_00358	CDS	261				hypothetical protein
KNDGMFLB_00359	CDS	531				hypothetical protein
KNDGMFLB_00360	CDS	1743		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
KNDGMFLB_00361	CDS	1110				hypothetical protein
KNDGMFLB_00362	CDS	1290	hemL1	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase 1
KNDGMFLB_00363	CDS	474	bcp	1.11.1.15	COG1225	Putative peroxiredoxin bcp
KNDGMFLB_00364	CDS	438	perR		COG0735	Peroxide operon regulator
KNDGMFLB_00365	CDS	354				hypothetical protein
KNDGMFLB_00366	CDS	885				hypothetical protein
KNDGMFLB_00367	rRNA	111				5S ribosomal RNA
KNDGMFLB_00368	CDS	465	ctsR		COG4463	Transcriptional regulator CtsR
KNDGMFLB_00369	CDS	348	mcsA		COG3880	Protein-arginine kinase activator protein
KNDGMFLB_00370	CDS	1092	mcsB	2.7.14.1	COG3869	Protein-arginine kinase
KNDGMFLB_00371	CDS	2433	clpC		COG0542	Negative regulator of genetic competence ClpC/MecB
KNDGMFLB_00372	CDS	1434	radA	3.6.4.-	COG1066	DNA repair protein RadA
KNDGMFLB_00373	CDS	1083	disA	2.7.7.85	COG1623	DNA integrity scanning protein DisA
KNDGMFLB_00374	CDS	1101	yacL	3.1.-.-	COG4956	putative PIN and TRAM-domain containing protein YacL
KNDGMFLB_00375	CDS	699	ispD	2.7.7.60	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
KNDGMFLB_00376	CDS	477	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
KNDGMFLB_00377	CDS	1452	gltX	6.1.1.17		Glutamate--tRNA ligase
KNDGMFLB_00378	CDS	654	cysE	2.3.1.30	COG1045	Serine acetyltransferase
KNDGMFLB_00379	CDS	1401	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
KNDGMFLB_00380	CDS	432	mrnC	3.1.26.-	COG1939	Mini-ribonuclease 3
KNDGMFLB_00381	CDS	750		2.1.1.-		Putative TrmH family tRNA/rRNA methyltransferase
KNDGMFLB_00382	CDS	513	yacP		COG3688	putative protein YacP
KNDGMFLB_00383	CDS	657	sigH		COG1595	RNA polymerase sigma-H factor
KNDGMFLB_00384	CDS	180	secE			Protein translocase subunit SecE
KNDGMFLB_00385	CDS	570	nusG		COG0250	Transcription termination/antitermination protein NusG
KNDGMFLB_00386	CDS	426	rplK		COG0080	50S ribosomal protein L11
KNDGMFLB_00387	CDS	699	rplA		COG0081	50S ribosomal protein L1
KNDGMFLB_00388	CDS	501	rplJ		COG0244	50S ribosomal protein L10
KNDGMFLB_00389	CDS	372	rplL		COG0222	50S ribosomal protein L7/L12
KNDGMFLB_00390	CDS	606	rlmG	2.1.1.174	COG2813	Ribosomal RNA large subunit methyltransferase G
KNDGMFLB_00391	CDS	3582	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
KNDGMFLB_00392	CDS	3600	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
KNDGMFLB_00393	CDS	249	rplGB		COG1358	Ribosome-associated protein L7Ae-like protein
KNDGMFLB_00394	CDS	417	rpsL		COG0048	30S ribosomal protein S12
KNDGMFLB_00395	CDS	471	rpsG		COG0049	30S ribosomal protein S7
KNDGMFLB_00396	CDS	2079	fusA		COG0480	Elongation factor G
KNDGMFLB_00397	CDS	1191	tuf		COG0050	Elongation factor Tu
